DateAndTime , SolData , Irr. Unc. % , ISF (stable?) , Kipp&Zonen , Tamb , Isc a-Si , Voc a-Si , Vmp a-Si , Pmax a-Si , T a-Si , Isc 459 , Voc 459 , Vmp 459 , Pmax 459 , T 459 , Isc CIS , Voc CIS , Vmp CIS , Pmax CIS , T CIS , Isc NESTE , Voc NESTE , Vmp NESTE , Pmax NESTE , T NESTE , Isc 433 , Voc 433 , Vmp 433 , Pmax 433 , T 433 , Isc 422 , Voc 422 , Vmp 422 , Pmax 422 , T 422 , Isc A10160 , Voc A10160 , Vmp A10160 , Pmax A10160 , T A10160, Isc A10156 , Voc A10156 , Vmp A10156 , Pmax A10156 , T A10156 , Isc 423 , Voc 423 , Vmp 423 , Pmax 423 , T 423 , Isc GPV , Voc GPV , Vmp GPV , Pmax GPV , T GPV , Airmass , Elevation , Azimuth , ECT A10160 , ECT A10156 , GHI
 280615054740 , 27.757344 , 0.550582 , 0.015285 , 30.272276 , 11.120605 , 0.116272 , 32.652415 , 28.010743 , 2.757421 , 11.824130 , 0.238503 , 32.281447 , 25.849628 , 5.650135 , 12.392824 , 0.119402 , 31.835718 , 26.410941 , 2.681139 , 12.178542 , 0.237417 , 31.697868 , 26.358906 , 5.337000 , 11.792350 , 0.239476 , 32.391296 , 27.496109 , 5.673425 , 13.128832 , 0.240795 , 32.110812 , 26.701186 , 5.485253 , 12.201566 , 0.254075 , 33.214472 , 27.870828 , 6.323257 , 12.858343, 0.247718 , 32.720287 , 27.674270 , 6.281720 , 11.628325 , 0.242439 , 32.348723 , 28.122304 , 5.806511 , 12.254000 , 0.232721 , 32.639640 , 28.045970 , 5.507822 , 12.521200 , 7.207189 , 7.509843 , -56.889664 , 7.108762 , 8.012734 , 32.419675
 280615054947 , 27.276857 , 0.687133 , 0.014853 , 30.129684 , 11.029053 , 0.114559 , 32.623815 , 27.044798 , 2.692737 , 11.784514 , 0.234488 , 32.252363 , 26.941599 , 5.484962 , 12.255838 , 0.117014 , 31.809860 , 25.839459 , 2.610673 , 12.095199 , 0.234342 , 31.676190 , 25.422993 , 5.187932 , 11.918356 , 0.235679 , 32.365041 , 26.791196 , 5.513107 , 13.127913 , 0.237261 , 32.082437 , 26.431224 , 5.290340 , 12.606961 , 0.249673 , 33.188313 , 27.920865 , 6.203763 , 12.777032, 0.245759 , 32.694229 , 27.603006 , 6.157047 , 11.589290 , 0.240150 , 32.321102 , 26.916800 , 5.683925 , 12.340293 , 0.226637 , 32.610744 , 26.997930 , 5.366723 , 12.474860 , 7.011870 , 7.742901 , -57.319906 , 7.337199 , 7.102430 , 32.878093
 280615055048 , 28.530665 , 0.637355 , 0.014983 , 31.683201 , 11.125183 , 0.118484 , 32.709572 , 27.019513 , 2.828910 , 11.867470 , 0.246747 , 32.334415 , 27.094989 , 5.770426 , 12.335505 , 0.122443 , 31.902766 , 25.903279 , 2.745265 , 12.182847 , 0.243897 , 31.761372 , 25.780333 , 5.454524 , 11.837335 , 0.247796 , 32.457980 , 26.781713 , 5.807511 , 13.089555 , 0.246787 , 32.180124 , 26.558200 , 5.578579 , 12.387938 , 0.261377 , 33.267858 , 27.988747 , 6.518424 , 12.820034, 0.255514 , 32.772723 , 27.128000 , 6.531626 , 11.668570 , 0.251603 , 32.410918 , 27.316550 , 5.990322 , 12.253758 , 0.238161 , 32.693757 , 27.106099 , 5.640213 , 12.582002 , 6.922811 , 7.853400 , -57.523036 , 7.149773 , 7.802054 , 35.235674
 280615055148 , 28.285089 , 0.554307 , 0.010968 , 31.342554 , 11.106873 , 0.118385 , 32.694623 , 27.055230 , 2.808842 , 11.827419 , 0.246149 , 32.325524 , 27.092887 , 5.737254 , 12.399354 , 0.121631 , 31.890346 , 25.876167 , 2.723022 , 12.142264 , 0.242884 , 31.749481 , 25.826451 , 5.412642 , 11.832691 , 0.247393 , 32.439754 , 26.980683 , 5.738949 , 13.042539 , 0.244960 , 32.158175 , 26.229994 , 5.522606 , 12.555688 , 0.258735 , 33.254714 , 27.982861 , 6.469220 , 12.770164, 0.253795 , 32.759839 , 27.549787 , 6.409791 , 11.559784 , 0.248449 , 32.390257 , 27.061854 , 5.929568 , 12.146472 , 0.237039 , 32.678895 , 27.111970 , 5.599172 , 12.423297 , 6.835730 , 7.964148 , -57.726081 , 7.529658 , 7.714586 , 33.925907
 280615055249 , 31.662379 , 0.500339 , 0.012921 , 34.614103 , 11.111450 , 0.132129 , 32.899838 , 27.422434 , 3.180945 , 11.865245 , 0.274644 , 32.551791 , 27.268425 , 6.538232 , 12.396548 , 0.136314 , 32.107118 , 26.024825 , 3.086078 , 12.155420 , 0.270536 , 31.964572 , 25.909554 , 6.133100 , 11.924160 , 0.272475 , 32.647390 , 27.116675 , 6.503888 , 13.092361 , 0.274771 , 32.378290 , 26.847117 , 6.279861 , 12.385181 , 0.290400 , 33.450720 , 28.214009 , 7.329686 , 12.817035, 0.283814 , 32.950024 , 28.034185 , 7.239326 , 11.591467 , 0.275951 , 32.590395 , 27.332278 , 6.700320 , 12.281088 , 0.263315 , 32.883080 , 27.348557 , 6.347411 , 12.362399 , 6.749161 , 8.076996 , -57.932425 , 8.299200 , 8.237698 , 37.003860
 280615055351 , 31.429522 , 0.577391 , 0.014057 , 34.766889 , 11.106873 , 0.130896 , 32.888306 , 27.440292 , 3.154127 , 11.864132 , 0.272172 , 32.523964 , 27.222025 , 6.460262 , 12.231653 , 0.134239 , 32.099934 , 26.088340 , 3.065396 , 12.132251 , 0.268093 , 31.958602 , 26.143963 , 6.089899 , 12.216174 , 0.271316 , 32.638783 , 27.344464 , 6.467664 , 13.179283 , 0.273377 , 32.367015 , 26.846013 , 6.242183 , 12.601688 , 0.286860 , 33.437779 , 28.181356 , 7.251648 , 12.815632, 0.282051 , 32.938876 , 27.907216 , 7.183142 , 11.582179 , 0.275068 , 32.583151 , 27.262925 , 6.659772 , 12.249453 , 0.261893 , 32.871851 , 27.359321 , 6.292840 , 12.272381 , 6.663140 , 8.191955 , -58.142066 , 8.572147 , 8.160231 , 37.069349
 280615055841 , 26.932800 , 0.584312 , 0.015457 , 30.497327 , 11.180115 , 0.114861 , 32.609997 , 27.027960 , 2.724019 , 11.895186 , 0.235942 , 32.237548 , 26.969980 , 5.468485 , 12.364092 , 0.116319 , 31.793837 , 25.475581 , 2.628293 , 12.223865 , 0.232208 , 31.655522 , 25.105481 , 5.237227 , 12.113580 , 0.234105 , 32.339378 , 25.947990 , 5.529150 , 13.179960 , 0.233971 , 32.058342 , 25.231390 , 5.264246 , 12.603913 , 0.248157 , 33.169269 , 28.343518 , 6.249906 , 12.854715, 0.242957 , 32.678619 , 28.356349 , 6.187150 , 11.669585 , 0.236786 , 32.296532 , 26.965642 , 5.749195 , 12.297340 , 0.227369 , 32.596284 , 26.874105 , 5.454957 , 12.424603 , 6.285364 , 8.733117 , -59.121522 , 6.751756 , 7.479527 , 36.741907
 280615055949 , 29.321585 , 0.530229 , 0.012511 , 33.181077 , 11.193848 , 0.122857 , 32.758785 , 27.308140 , 2.932198 , 11.945056 , 0.254388 , 32.382616 , 27.200928 , 5.980956 , 12.420589 , 0.125855 , 31.953790 , 26.021474 , 2.838975 , 12.272719 , 0.252287 , 31.812039 , 25.756825 , 5.636442 , 12.232475 , 0.254656 , 32.501623 , 27.215009 , 5.991770 , 13.170770 , 0.254230 , 32.226661 , 26.411993 , 5.786737 , 12.585774 , 0.267759 , 33.305066 , 27.995554 , 6.722186 , 12.949861, 0.264033 , 32.818090 , 27.858233 , 6.686300 , 11.751042 , 0.257070 , 32.449862 , 27.220981 , 6.188130 , 12.431375 , 0.245740 , 32.742722 , 27.044826 , 5.851081 , 12.595013 , 6.202249 , 8.860821 , -59.350931 , 7.945369 , 7.764871 , 39.950837
 280615060055 , 32.674825 , 0.477106 , 0.013937 , 36.238721 , 11.161804 , 0.136738 , 32.944737 , 27.476179 , 3.291328 , 12.084074 , 0.282672 , 32.572972 , 27.040931 , 6.750833 , 12.532035 , 0.139645 , 32.156477 , 26.162974 , 3.198551 , 12.353160 , 0.279290 , 32.013565 , 26.146658 , 6.355163 , 12.128091 , 0.281032 , 32.691335 , 27.215562 , 6.731914 , 13.261900 , 0.283716 , 32.425314 , 26.870764 , 6.514569 , 12.778725 , 0.298033 , 33.482436 , 28.398615 , 7.544931 , 12.953440, 0.291476 , 32.991485 , 28.004261 , 7.478416 , 11.764682 , 0.284499 , 32.633419 , 27.303580 , 6.945339 , 12.429150 , 0.272722 , 32.928513 , 27.281789 , 6.564199 , 12.506737 , 6.122251 , 8.986943 , -59.576875 , 8.835203 , 8.940059 , 43.356232
 280615060158 , 34.480690 , 0.416312 , 0.011680 , 38.243133 , 11.230469 , 0.144130 , 33.037907 , 27.518076 , 3.497398 , 12.131042 , 0.301017 , 32.676780 , 27.262494 , 7.195241 , 12.508672 , 0.147616 , 32.258064 , 26.376975 , 3.403230 , 12.440759 , 0.294530 , 32.113924 , 26.190081 , 6.760998 , 12.318188 , 0.298577 , 32.772703 , 27.521613 , 7.154639 , 13.363962 , 0.300915 , 32.523132 , 26.902784 , 6.948995 , 12.829901 , 0.314436 , 33.571073 , 28.355108 , 8.012016 , 13.040411, 0.308141 , 33.078075 , 28.098268 , 7.938888 , 11.889720 , 0.301223 , 32.725486 , 27.567566 , 7.376573 , 12.427119 , 0.288540 , 33.020969 , 27.508363 , 6.977115 , 12.550415 , 6.048690 , 9.105802 , -59.789249 , 9.384944 , 9.000344 , 45.582836
 280615060258 , 35.488898 , 0.595331 , 0.015461 , 39.575491 , 11.326599 , 0.148354 , 33.083937 , 27.575053 , 3.614246 , 12.281039 , 0.309399 , 32.720423 , 27.559963 , 7.430951 , 12.672019 , 0.151768 , 32.306397 , 26.351234 , 3.516139 , 12.489759 , 0.303889 , 32.162618 , 26.289954 , 6.988322 , 12.276928 , 0.307369 , 32.822180 , 27.489940 , 7.417043 , 13.397144 , 0.309342 , 32.574754 , 27.045954 , 7.189113 , 12.866131 , 0.323671 , 33.611225 , 28.360811 , 8.270669 , 13.126414, 0.314796 , 33.121401 , 28.006931 , 8.191430 , 11.929481 , 0.311139 , 32.773319 , 27.614108 , 7.624682 , 12.547416 , 0.296250 , 33.066932 , 27.545323 , 7.214978 , 12.600673 , 5.980085 , 9.219241 , -59.991439 , 9.577101 , 9.954126 , 46.696138
 280615060359 , 34.547780 , 0.494000 , 0.012096 , 38.845795 , 11.303711 , 0.144116 , 33.037614 , 27.613151 , 3.522682 , 12.306869 , 0.300344 , 32.666365 , 27.159033 , 7.316103 , 12.549158 , 0.148836 , 32.251696 , 27.161087 , 3.419327 , 12.443420 , 0.295872 , 32.109192 , 26.753081 , 6.797130 , 12.122432 , 0.301831 , 32.775831 , 28.254516 , 7.276579 , 13.488904 , 0.302961 , 32.516241 , 27.694178 , 7.067307 , 13.072819 , 0.314389 , 33.563766 , 28.480018 , 8.047385 , 13.119351, 0.309868 , 33.077078 , 27.990450 , 7.986931 , 12.020611 , 0.302966 , 32.729337 , 27.398689 , 7.450290 , 12.604397 , 0.288344 , 33.020779 , 27.497900 , 7.031155 , 12.667182 , 5.912856 , 9.332911 , -60.193560 , 9.687208 , 9.025772 , 44.796976
 280615060504 , 32.709952 , 0.543083 , 0.014677 , 37.322345 , 11.285400 , 0.137643 , 32.951493 , 28.352832 , 3.355356 , 12.267737 , 0.286122 , 32.575241 , 27.340878 , 6.811537 , 12.672068 , 0.141089 , 32.155915 , 26.758522 , 3.255192 , 12.483325 , 0.280928 , 32.013367 , 26.676193 , 6.473307 , 12.443033 , 0.287234 , 32.704352 , 27.738722 , 6.946958 , 13.481116 , 0.287515 , 32.431662 , 27.017063 , 6.727150 , 12.964759 , 0.299145 , 33.476940 , 28.178596 , 7.597809 , 13.120512, 0.293626 , 32.994143 , 28.185093 , 7.564682 , 11.978239 , 0.289458 , 32.642038 , 28.202419 , 7.086186 , 12.561637 , 0.276083 , 32.935025 , 28.319968 , 6.694884 , 12.608751 , 5.841535 , 9.456312 , -60.412449 , 9.009937 , 9.097128 , 44.665999
 280615060609 , 35.857048 , 0.384435 , 0.010498 , 40.399683 , 11.335754 , 0.150867 , 33.114627 , 27.597560 , 3.676682 , 12.182992 , 0.312316 , 32.750538 , 27.461532 , 7.551601 , 12.627663 , 0.154279 , 32.333762 , 26.530355 , 3.574259 , 12.485502 , 0.308484 , 32.190372 , 25.990785 , 7.098831 , 12.057470 , 0.311212 , 32.840727 , 27.486165 , 7.482991 , 13.350563 , 0.311416 , 32.594393 , 27.015867 , 7.267661 , 12.896024 , 0.326381 , 33.630390 , 28.522882 , 8.338484 , 13.122883, 0.320036 , 33.141809 , 28.119444 , 8.293715 , 11.979351 , 0.314422 , 32.794810 , 27.566002 , 7.721294 , 12.555736 , 0.300619 , 33.097124 , 27.500987 , 7.331577 , 12.457108 , 5.770676 , 9.581887 , -60.634627 , 9.467703 , 9.395755 , 52.328138
 280615060710 , 41.935485 , 0.339166 , 0.009128 , 46.602845 , 11.294556 , 0.173607 , 33.395054 , 28.060690 , 4.335023 , 12.039718 , 0.365169 , 33.040053 , 27.829352 , 8.968462 , 12.572182 , 0.179030 , 32.633275 , 26.792944 , 4.231272 , 12.456286 , 0.357958 , 32.487275 , 26.669455 , 8.406664 , 12.123351 , 0.359863 , 33.131177 , 27.906847 , 8.858837 , 13.307755 , 0.361105 , 32.883164 , 27.513466 , 8.620975 , 12.761795 , 0.378724 , 33.899935 , 28.771046 , 9.821213 , 13.008486, 0.372402 , 33.406081 , 27.751428 , 9.788496 , 11.891220 , 0.366582 , 33.077664 , 27.723198 , 9.111755 , 12.386197 , 0.346609 , 33.377298 , 28.114771 , 8.653988 , 12.519507 , 5.707582 , 9.696283 , -60.836540 , 10.547508 , 9.863350 , 61.103578
 280615060811 , 46.972659 , 0.313185 , 0.009066 , 51.700088 , 11.170959 , 0.194698 , 33.600602 , 28.266884 , 4.908970 , 12.041169 , 0.406297 , 33.249120 , 28.042430 , 10.174371 , 12.492032 , 0.200295 , 32.850369 , 26.996131 , 4.796778 , 12.400273 , 0.400675 , 32.704321 , 27.018261 , 9.535589 , 12.252065 , 0.403887 , 33.349482 , 27.967432 , 10.082884 , 13.275637 , 0.406263 , 33.104729 , 27.678076 , 9.827501 , 12.677050 , 0.424024 , 34.101049 , 28.929254 , 11.123917 , 12.990057, 0.415619 , 33.605011 , 28.413158 , 11.011203 , 11.846429 , 0.407914 , 33.281020 , 28.044488 , 10.329037 , 12.469346 , 0.388009 , 33.582744 , 28.184475 , 9.800830 , 12.354659 , 5.643673 , 9.814730 , -61.045118 , 11.152562 , 10.392743 , 65.425811
 280615060912 , 53.627100 , 0.569421 , 0.010410 , 58.661687 , 11.079407 , 0.222196 , 33.835241 , 28.541905 , 5.690575 , 12.016935 , 0.467678 , 33.512922 , 28.197321 , 11.862709 , 12.397709 , 0.229281 , 33.105638 , 27.373108 , 5.580652 , 12.409802 , 0.458240 , 32.954602 , 27.190155 , 11.099891 , 12.371686 , 0.460085 , 33.584999 , 28.187395 , 11.615260 , 13.298517 , 0.460833 , 33.351130 , 27.853450 , 11.384717 , 12.880691 , 0.487045 , 34.331974 , 29.090405 , 12.938994 , 12.909665, 0.474494 , 33.828596 , 28.720314 , 12.718202 , 11.713796 , 0.464857 , 33.509265 , 28.256596 , 11.891740 , 12.338407 , 0.443705 , 33.817635 , 28.406834 , 11.351453 , 12.254193 , 5.582037 , 9.931499 , -61.250268 , 11.744681 , 10.878157 , 77.606646
 280615061014 , 60.578225 , 0.226646 , 0.005621 , 66.732048 , 11.180115 , 0.249360 , 34.028675 , 28.870727 , 6.444020 , 12.095296 , 0.525872 , 33.691979 , 28.448090 , 13.459983 , 12.504125 , 0.256337 , 33.307706 , 27.697689 , 6.332342 , 12.577745 , 0.512466 , 33.164877 , 27.545774 , 12.587514 , 12.285489 , 0.516017 , 33.787878 , 28.542705 , 13.238123 , 13.295324 , 0.520391 , 33.555612 , 28.165922 , 12.977889 , 12.823371 , 0.545540 , 34.514013 , 29.255235 , 14.621500 , 13.036879, 0.533025 , 34.015503 , 28.999296 , 14.381857 , 11.798251 , 0.522150 , 33.705669 , 28.377551 , 13.500282 , 12.576245 , 0.498440 , 34.011020 , 28.717716 , 12.865632 , 12.464896 , 5.521598 , 10.048498 , -61.455356 , 12.350150 , 11.233909 , 89.787482
 280615061114 , 60.484009 , 0.332733 , 0.007951 , 67.411306 , 11.180115 , 0.248328 , 34.017124 , 28.754732 , 6.426068 , 12.307159 , 0.524616 , 33.696375 , 28.605684 , 13.453115 , 12.681839 , 0.256702 , 33.296749 , 27.622751 , 6.326904 , 12.696447 , 0.511997 , 33.156601 , 27.436318 , 12.579368 , 12.281426 , 0.512990 , 33.773337 , 28.480187 , 13.130450 , 13.434680 , 0.515410 , 33.542540 , 28.205671 , 12.891144 , 12.750283 , 0.543061 , 34.503372 , 29.416386 , 14.580367 , 13.172995, 0.529895 , 34.006802 , 28.864041 , 14.322288 , 11.979641 , 0.520424 , 33.692386 , 28.450676 , 13.424082 , 12.556704 , 0.495844 , 34.000508 , 28.824304 , 12.829519 , 12.632307 , 5.463289 , 10.163801 , -61.657024 , 12.571487 , 11.374642 , 88.346738
